Generation, Pareto Front, Average Fitness, Average Complexity
./generations/generation2,20,8.71315,133
./generations/generation2,21,11.0855,129
./generations/generation2,22,10.0641,133.5
./generations/generation2,23,3.68151,136
./generations/generation2,24,21.8045,133.714
./generations/generation2,25,2.13863,140
./generations/generation2,26,11.1724,132
./generations/generation2,27,2.51133,140
./generations/generation2,28,6.68075,136
./generations/generation2,29,2.53306,140
./generations/generation2,30,3.09822,139.6
./generations/generation2,31,2.64795,140
./generations/generation2,32,4.00587,138
./generations/generation2,33,2.74162,140
./generations/generation2,34,2.82737,140
./generations/generation2,35,4.51515,138
./generations/generation2,36,4.57514,138
./generations/generation3,all,3.98889,128.11
./generations/generation3,1,1.51395,117
./generations/generation3,2,1.26915,134.2
./generations/generation3,3,5.92824,115.6
./generations/generation3,4,2.35981,125.75
./generations/generation3,5,3.29917,118.5
./generations/generation3,6,2.92788,123.75
./generations/generation3,7,2.29961,130.667
./generations/generation3,8,4.38066,113.5
./generations/generation3,9,1.57126,138
./generations/generation3,10,3.45318,123
./generations/generation3,11,2.71767,129
./generations/generation3,12,2.95411,128
./generations/generation3,13,3.30473,130
./generations/generation3,14,3.25953,131.167
./generations/generation3,15,8.76086,127
./generations/generation3,16,4.19642,133.667
./generations/generation3,17,2.01229,138
./generations/generation3,18,9.63107,122
./generations/generation3,19,9.90875,127
./generations/generation3,20,9.23094,131
./generations/generation3,21,3.15785,130
./generations/generation3,22,12.7081,127
./generations/generation3,23,2.50051,134
./generations/generation3,24,1.81767,139.6
./generations/generation3,25,3.01955,137
./generations/generation3,26,3.71935,131
./generations/generation3,27,3.60548,132
./generations/generation3,28,1.66177,140
./generations/generation4,all,3.09402,122.85
./generations/generation4,1,5.18436,109.5
./generations/generation4,2,1.69567,125
./generations/generation4,3,1.67183,126
./generations/generation4,4,1.85907,125.167
./generations/generation4,5,6.14164,117.375
./generations/generation4,6,3.50371,111.333
./generations/generation4,7,1.09112,140
./generations/generation4,8,2.7767,122
./generations/generation4,9,3.77393,114.5
./generations/generation4,10,2.95796,119
./generations/generation4,11,1.57459,134.6
./generations/generation4,12,2.9318,124
./generations/generation4,13,2.67953,126.5
./generations/generation4,14,2.41795,126.5
./generations/generation4,15,3.02802,123.222
./generations/generation4,16,3.70119,120.333
./generations/generation4,17,2.79425,126.357
./generations/generation4,18,2.78748,126.5
./generations/generation4,19,4.03798,115.5
./generations/generation4,20,3.06769,123.333
./generations/generation4,21,1.86194,136
./generations/generation4,22,2.93982,130
./generations/generation5,all,3.48406,118.8
./generations/generation5,1,5.57073,106.818
./generations/generation5,2,1.40728,121
./generations/generation5,3,1.66112,112
./generations/generation5,4,4.70564,115.6
./generations/generation5,5,1.81138,124
./generations/generation5,6,3.30306,104
./generations/generation5,7,14.5035,98
./generations/generation5,8,1.53979,125
./generations/generation5,9,2.11836,121.167
./generations/generation5,10,1.11431,137
./generations/generation5,11,1.99993,119.5
./generations/generation5,12,1.68758,126.75
./generations/generation5,13,2.46937,119.5
./generations/generation5,14,1.9845,122
./generations/generation5,15,2.58393,115.333
./generations/generation5,16,2.78869,119.1
./generations/generation5,17,3.63972,132.571
./generations/generation5,18,3.12741,112
./generations/generation5,19,2.93578,120.667
./generations/generation5,20,2.07405,127
./generations/generation5,21,10.367,111.571
./generations/generation5,22,2.77352,121.667
./generations/generation5,23,2.97418,123.5
./generations/generation5,24,1.5881,136
./generations/generation6,all,3.82691,113.41
./generations/generation6,1,1.45521,108.778
./generations/generation6,2,3.84381,107.875
./generations/generation6,3,3.50253,109.25
./generations/generation6,4,3.66413,111.4
./generations/generation6,5,6.65851,115.364
./generations/generation6,6,10.0071,94.8571
./generations/generation6,7,1.37789,123.714
./generations/generation6,8,1.62563,115.5
./generations/generation6,9,2.06633,102
./generations/generation6,10,3.31335,117.889
./generations/generation6,11,1.11595,132
./generations/generation6,12,2.69344,110.667
./generations/generation6,13,1.4873,123
./generations/generation6,14,3.54405,108
./generations/generation6,15,3.24878,107.25
./generations/generation6,16,9.45034,115
./generations/generation6,17,1.65451,127
./generations/generation6,18,1.15408,135
./generations/generation6,19,1.20974,134
./generations/generation6,20,14.5035,98
./generations/generation7,all,4.64584,107.81
./generations/generation7,1,1.9184,103.875
./generations/generation7,2,3.55089,103.444
./generations/generation7,3,1.49056,109.429
./generations/generation7,4,3.45476,107.667
./generations/generation7,5,1.49625,112.5
./generations/generation7,6,2.76542,101.333
./generations/generation7,7,8.05761,99
./generations/generation7,8,1.378,120.143
./generations/generation7,9,1.8128,106.25
./generations/generation7,10,2.75969,119.091
./generations/generation7,11,6.08283,104.625
./generations/generation7,12,2.16532,96
