Generation, Pareto Front, Average Fitness, Average Complexity
./generations/generation58,5,1.05387,37.9091
./generations/generation59,all,1.60459,21.34
./generations/generation59,1,1.80048,16.194
./generations/generation59,2,1.12431,33
./generations/generation59,3,1.20068,32.3333
./generations/generation59,4,1.78714,11
./generations/generation60,all,1.68064,19.04
./generations/generation60,1,1.82716,15.5641
./generations/generation60,2,0.896195,40.2
./generations/generation60,3,1.1658,32.75
./generations/generation60,4,1.27925,25.75
./generations/generation60,5,1.50356,21
./generations/generation61,all,1.77559,16.78
./generations/generation61,1,1.85467,14.2174
./generations/generation61,2,0.866207,46.25
./generations/generation62,all,1.95937,12.26
./generations/generation62,1,1.95937,12.26
./generations/generation63,all,2.04138,10.58
./generations/generation63,1,2.04138,10.58
./generations/generation64,all,2.10546,9.26
./generations/generation64,1,2.10546,9.26
./generations/generation65,all,2.17448,7.98
./generations/generation65,1,2.17448,7.98
./generations/generation66,all,2.16523,8.04
./generations/generation66,1,1.38019,26.7143
./generations/generation66,2,2.29302,5
./generations/generation67,all,2.10086,9.24
./generations/generation67,1,1.44479,23.5882
./generations/generation67,2,1.33379,26.6
./generations/generation67,3,2.29302,5
./generations/generation68,all,2.05079,10.36
./generations/generation68,1,1.49192,22.8182
./generations/generation68,2,1.35027,25.5714
./generations/generation68,3,2.29302,5
./generations/generation69,all,2.00983,11.04
./generations/generation69,1,1.62088,19
./generations/generation69,2,1.22478,33
./generations/generation69,3,2.23754,6.10769
./generations/generation70,all,1.92765,13.06
./generations/generation70,1,1.61604,19.7317
./generations/generation70,2,1.22478,33
./generations/generation70,3,2.21106,6.63636
./generations/generation71,all,1.83219,14.96
./generations/generation71,1,1.6908,17.1961
./generations/generation71,2,0.985911,38.5556
./generations/generation71,3,2.20287,6.8
./generations/generation72,all,1.69467,17.66
./generations/generation72,1,1.68625,16.8209
./generations/generation72,2,0.617947,49
./generations/generation72,3,1.26442,31
./generations/generation72,4,1.39147,23
./generations/generation72,5,2.29302,5
./generations/generation73,all,1.65658,18
./generations/generation73,1,1.61451,15.24
./generations/generation73,2,1.84707,16.9024
./generations/generation73,3,0.617947,49
./generations/generation73,4,1.22478,33
./generations/generation74,all,1.74622,14.7
./generations/generation74,1,1.70786,12.8438
./generations/generation74,2,1.8144,18
./generations/generation75,all,1.69998,14.34
./generations/generation75,1,1.7749,11.2581
./generations/generation75,2,0.474923,63
./generations/generation75,3,2.0823,9
./generations/generation76,all,1.82141,10.68
./generations/generation76,1,1.82141,10.68
./generations/generation77,all,1.99484,7.48
./generations/generation77,1,1.99484,7.48
./generations/generation78,all,2.10506,5.56
./generations/generation78,1,2.10506,5.56
./generations/generation79,all,2.10506,5.56
./generations/generation79,1,2.10506,5.56
./generations/generation80,all,2.10506,5.56
./generations/generation80,1,2.10506,5.56
./generations/generation81,all,2.10506,5.56
./generations/generation81,1,2.10506,5.56
./generations/generation82,all,2.10506,5.56
./generations/generation82,1,2.10506,5.56
./generations/generation83,all,2.10506,5.56
./generations/generation83,1,2.10506,5.56
./generations/generation84,all,2.10506,5.56
./generations/generation84,1,2.10506,5.56
./generations/generation85,all,2.10506,5.56
./generations/generation85,1,2.10506,5.56
./generations/generation86,all,2.10506,5.56
./generations/generation86,1,2.10506,5.56
./generations/generation87,all,2.10506,5.56
./generations/generation87,1,2.10506,5.56
./generations/generation88,all,2.10506,5.56
./generations/generation88,1,2.10506,5.56
./generations/generation89,all,2.10506,5.56
./generations/generation89,1,2.10506,5.56
./generations/generation90,all,2.10506,5.56
./generations/generation90,1,2.10506,5.56
./generations/generation91,all,2.10506,5.56
./generations/generation91,1,2.10506,5.56
./generations/generation92,all,2.10506,5.56
./generations/generation92,1,2.10506,5.56
./generations/generation93,all,2.10506,5.56
./generations/generation93,1,2.10506,5.56
./generations/generation94,all,2.10506,5.56
./generations/generation94,1,2.10506,5.56
./generations/generation95,all,2.10506,5.56
./generations/generation95,1,2.10506,5.56
./generations/generation96,all,2.0886,6.12
./generations/generation96,1,2.0886,6.12
./generations/generation97,all,2.0886,6.12
./generations/generation97,1,2.0886,6.12
./generations/generation98,all,2.10506,5.56
./generations/generation98,1,2.10506,5.56
./generations/generation99,all,2.10506,5.56
./generations/generation99,1,2.10506,5.56
